"","trend_type","label","years","CI_high","CI_low","LPI_final","sim"
"1","Concave Decrease","20%",1950,1,1,1,"median"
"2","Concave Decrease","20%",1951,1.02878517064172,0.986876529077123,1.00538019675709,"median"
"3","Concave Decrease","20%",1952,1.05508626282968,0.98854240365937,1.01853505564671,"median"
"4","Concave Decrease","20%",1953,1.08976395206974,0.997826364207376,1.03937829286449,"median"
"5","Concave Decrease","20%",1954,1.12227551629742,1.00997284945298,1.06171286042363,"median"
"6","Concave Decrease","20%",1955,1.1421619521224,1.0203791424255,1.07636555698135,"median"
"7","Concave Decrease","20%",1956,1.14539430895266,1.02322832923758,1.07946605239188,"median"
"8","Concave Decrease","20%",1957,1.14351860389248,1.01492803773958,1.07304269398007,"median"
"9","Concave Decrease","20%",1958,1.14004777557067,1.00012355956145,1.06593803954663,"median"
"10","Concave Decrease","20%",1959,1.13628053518421,0.988665169530585,1.05893720578067,"median"
"11","Concave Decrease","20%",1960,1.13475483310843,0.979884527761483,1.05369531456064,"median"
"12","Concave Decrease","20%",1961,1.1337387163625,0.97596757571635,1.05016894006188,"median"
"13","Concave Decrease","20%",1962,1.13532039198197,0.973519139250023,1.05027762173942,"median"
"14","Concave Decrease","20%",1963,1.1445816927794,0.976405524677688,1.0563825477087,"median"
"15","Concave Decrease","20%",1964,1.15540638227712,0.981972741015865,1.06607411685858,"median"
"16","Concave Decrease","20%",1965,1.16971361052945,0.98857490375902,1.0744847731682,"median"
"17","Concave Decrease","20%",1966,1.18193940180242,0.994807801548585,1.08198586598082,"median"
"18","Concave Decrease","20%",1967,1.1873176683221,0.995665943210003,1.08697720527941,"median"
"19","Concave Decrease","20%",1968,1.18802675680426,0.993047164217443,1.08587188781665,"median"
"20","Concave Decrease","20%",1969,1.18020069486891,0.982984131171021,1.07808523664961,"median"
"21","Concave Decrease","20%",1970,1.16779409940163,0.971325212518298,1.06458848578917,"median"
"22","Concave Decrease","20%",1971,1.15966832663346,0.963121128854845,1.05554746740663,"median"
"23","Concave Decrease","20%",1972,1.15709314311643,0.959471572732154,1.05329324398294,"median"
"24","Concave Decrease","20%",1973,1.16284269580415,0.959754761641899,1.0572001189717,"median"
"25","Concave Decrease","20%",1974,1.16400468521566,0.961503688286965,1.05844403580036,"median"
"26","Concave Decrease","20%",1975,1.16043390780995,0.956783268008842,1.05393616386506,"median"
"27","Concave Decrease","20%",1976,1.15016285913496,0.944975238434113,1.04503074027226,"median"
"28","Concave Decrease","20%",1977,1.14288199760411,0.937659310922433,1.03599104250513,"median"
"29","Concave Decrease","20%",1978,1.14077322351074,0.934973625317278,1.03126756693846,"median"
"30","Concave Decrease","20%",1979,1.14117976675496,0.934442695121302,1.03272706902988,"median"
"31","Concave Decrease","20%",1980,1.14396467623593,0.935926845141003,1.03509100593608,"median"
"32","Concave Decrease","20%",1981,1.1484937772908,0.937234563649565,1.03584260371544,"median"
"33","Concave Decrease","20%",1982,1.15342624807329,0.936379093199766,1.03753106673055,"median"
"34","Concave Decrease","20%",1983,1.15934711344798,0.938568439133788,1.04151190099791,"median"
"35","Concave Decrease","20%",1984,1.16563906201796,0.941442010192411,1.04746703797321,"median"
"36","Concave Decrease","20%",1985,1.16912717938124,0.941679735693779,1.05093389547265,"median"
"37","Concave Decrease","20%",1986,1.1678025935626,0.939103343735914,1.04753264139035,"median"
"38","Concave Decrease","20%",1987,1.15250656454228,0.927700116571398,1.03595008299772,"median"
"39","Concave Decrease","20%",1988,1.130929537819,0.908996069495987,1.01449689319622,"median"
"40","Concave Decrease","20%",1989,1.10939591955762,0.886797761142041,0.990535086542629,"median"
"41","Concave Decrease","20%",1990,1.09261750223822,0.871916540329968,0.974872002807528,"median"
"42","Concave Decrease","20%",1991,1.09180069192348,0.869628623002223,0.971531877942268,"median"
"43","Concave Decrease","20%",1992,1.1014333794922,0.875626139699517,0.980676752274803,"median"
"44","Concave Decrease","20%",1993,1.11402162769085,0.881728186635118,0.991537020783988,"median"
"45","Concave Decrease","20%",1994,1.11741497001885,0.883995367957767,0.995120284370618,"median"
"46","Concave Decrease","20%",1995,1.11283954643884,0.87730258795543,0.987653872396299,"median"
"47","Concave Decrease","20%",1996,1.10252272722257,0.865611921608991,0.977190083184789,"median"
"48","Concave Decrease","20%",1997,1.08810358701418,0.855672539868229,0.966120845701947,"median"
"49","Concave Decrease","20%",1998,1.0766762695185,0.846335095732667,0.954170772066783,"median"
"50","Concave Decrease","20%",1999,1.06563242370899,0.835561007874055,0.94379032902863,"median"
"51","Concave Decrease","20%",2000,1.05681084692341,0.822868192577355,0.932416263928204,"median"
"52","Concave Decrease","20%",2001,1.04968668732893,0.814424998579067,0.923260757338951,"median"
"53","Concave Decrease","20%",2002,1.04389212267354,0.807069530104632,0.916945760381597,"median"
"54","Concave Decrease","20%",2003,1.03777131020817,0.798654232773163,0.91071430913841,"median"
"55","Concave Decrease","20%",2004,1.02502237368451,0.786835550540838,0.898359504503367,"median"
"56","Concave Decrease","20%",2005,1.00119403124143,0.769406093471868,0.877633253286197,"median"
"57","Concave Decrease","20%",2006,0.96994714960298,0.743732967562908,0.848556759238607,"median"
"58","Concave Decrease","20%",2007,0.937634944052217,0.72036714624197,0.820884385905601,"median"
"59","Concave Decrease","20%",2008,0.908417045134244,0.694449903349806,0.794341566322535,"median"
"60","Concave Decrease","20%",2009,0.885100083962949,0.674455941666825,0.773011630907416,"median"
"61","Concave Decrease","20%",2010,0.86477915310413,0.654415623954957,0.753346587530891,"median"
"62","Concave Decrease","20%",2011,0.840167189240651,0.63544029177724,0.731850688954502,"median"
"63","Concave Decrease","20%",2012,0.810880065875832,0.611864238140705,0.705273193564415,"median"
"64","Concave Decrease","20%",2013,0.776317924551091,0.584943798484583,0.674346977628405,"median"
